Supplementary Table 9. Pairwise comparison of AA similarity acros Picorna-like viruses,,,,,
Species 1,Species 2,Names 1,Names 2,disimilarity,similarity
IAPV,AEV-1,Israeli acute paralysis virus,Tremovirus A1,0.94,0.06
SV-NG-J1,TuASV,Salivirus NG-J1,Turkey avisivirus,0.94,0.06
SEIV-1,HAV,Spodoptera exigua iflavirus 1,Hepatovirus A,0.94,0.06
SINV-1,AoV-8,Solenopsis invicta virus 1,Putative A. octoarticulatus virus 7 (g3814 i0),0.94,0.06
ApIV,PEV-8,Antheraea pernyi iflavirus,Porcine enterovirus 8,0.94,0.06
VdV-1,TuASV,Varroa destructor virus 1,Turkey avisivirus,0.94,0.06
GaV-A1,DHAV-1,Gallivirus A1,Duck hepatitis A virus 1,0.94,0.06
TplV-1,CPMV,Thaumetopoea pityocampa iflavirus 1,Cowpea mosaic virus,0.94,0.06
SBPV,ArMV,Slow bee paralysis virus,Arabis mosaic virus,0.94,0.06
PasV-A1,KuV-A1,Passerivirus A1,Kunsagivirus A1,0.94,0.06
ALPV,AV-A1,Aphid lethal paralysis virus,Aquamavirus A1,0.94,0.06
CosV-A1,HAV,Cosavirus A1,Hepatovirus A,0.94,0.06
KBV,PNV,Kashmir bee virus,Perina nuda virus,0.94,0.06
NLHV-1,MoV-A1,Nilaparvata lugens honeydew virus 1,Mosavirus A1,0.94,0.06
FSak1,AV-A1,Feline sakobuvirus A,Aquamavirus A1,0.94,0.06
AoV-8,HAV,Putative A. octoarticulatus virus 7 (g3814 i0),Hepatovirus A,0.94,0.06
DWV,SEIV-1,Deformed wing virus,Spodoptera exigua iflavirus 1,0.94,0.06
IAPV,ArMV,Israeli acute paralysis virus,Arabis mosaic virus,0.94,0.06
ALPV,EPV-1,Aphid lethal paralysis virus,Eel picornavirus 1,0.94,0.06
BHuV-1,AV-A1,Bovine hungarovirus 1,Aquamavirus A1,0.94,0.06
IFV,SenV-A1,Infectious flacherie virus,Senecavirus A1,0.94,0.06
AoV-2,SiV-A,Putative A. octoarticulatus virus 3 (g6982 i4),Sicinivirus A,0.94,0.06
NIHV-2,ArMV,Nilaparvata lugens honeydew virus-2,Arabis mosaic virus,0.94,0.06
SINV-1,SEIV-2,Solenopsis invicta virus 1,Spodoptera exigua iflavirus 2,0.94,0.06
ArMV,SEIV-2,Arabis mosaic virus,Spodoptera exigua iflavirus 2,0.94,0.06
SINV-1,PEV-8,Solenopsis invicta virus 1,Porcine enterovirus 8,0.94,0.06
AoV-7,FMDV-O1K,Putative A. octoarticulatus virus 6 (g3684 i0),Foot and mouth disease virus,0.94,0.06
ABPV,TuASV,Acute bee paralysis virus,Turkey avisivirus,0.94,0.06
KBV,EPV-1,Kashmir bee virus,Eel picornavirus 1,0.94,0.06
FEX-1,EPV-1,Formica exsecta virus 1,Eel picornavirus 1,0.94,0.06
SV-NG-J1,DHAV-1,Salivirus NG-J1,Duck hepatitis A virus 1,0.94,0.06
FeV-2,BQCV,Formica exsecta virus 2,Black queen cell virus,0.94,0.06
SINV-1,AEV-1,Solenopsis invicta virus 1,Tremovirus A1,0.94,0.06
KuV-A1,HAV,Kunsagivirus A1,Hepatovirus A,0.94,0.06
SINV-1,CosV-A1,Solenopsis invicta virus 1,Cosavirus A1,0.94,0.06
SINV-1,CPDV,Solenopsis invicta virus 1,Canine picodicistrovirus,0.94,0.06
PNV,LimV-A1,Perina nuda virus,Limnipivirus A1,0.94,0.06
SBPV,OilV-1,Slow bee paralysis virus,Osiphanes invirae iflavirus 1,0.94,0.06
LdIV-1,CosV-A1,Lymantria dispar iflavirus 1,Cosavirus A1,0.94,0.06
BBV,POLIO1A,Brevicoryne brassicae virus,Human poliovirus 1 Mahoney,0.94,0.06
AoV-7,SV-NG-J1,Putative A. octoarticulatus virus 6 (g3684 i0),Salivirus NG-J1,0.94,0.06
ABPV,RoM-7,Acute bee paralysis virus,Rosavirus M-7,0.94,0.06
MoV-A1,AEV-1,Mosavirus A1,Tremovirus A1,0.94,0.06
AoV-3,KuV-A1,Putative A. octoarticulatus virus 1 (g2275 i0),Kunsagivirus A1,0.94,0.06
KBV,KuV-A1,Kashmir bee virus,Kunsagivirus A1,0.94,0.06
ABPV,KuV-A1,Acute bee paralysis virus,Kunsagivirus A1,0.94,0.06
FMDV-O1K,LimV-A1,Foot and mouth disease virus,Limnipivirus A1,0.94,0.06
AoV-3,MoV-A1,Putative A. octoarticulatus virus 1 (g2275 i0),Mosavirus A1,0.94,0.06
AoV-7,CRLV,Putative A. octoarticulatus virus 6 (g3684 i0),Cherry rasp leaf virus,0.94,0.06
THV-2993D,LimV-A1,Turkey hepatitis virus 2993D,Limnipivirus A1,0.94,0.06
STV9,BQCV,Soybean thrips iflavirus 9,Black queen cell virus,0.94,0.06
NIHV-2,MoV-A1,Nilaparvata lugens honeydew virus-2,Mosavirus A1,0.94,0.06
SV-NG-J1,AEV-1,Salivirus NG-J1,Tremovirus A1,0.94,0.06
LdIV-1,HAV,Lymantria dispar iflavirus 1,Hepatovirus A,0.94,0.06
ABPV,PasV-A1,Acute bee paralysis virus,Passerivirus A1,0.94,0.06
ERAV,TuASV,Equine rhinitis B virus 1,Turkey avisivirus,0.94,0.06
TplV-1,PEV-8,Thaumetopoea pityocampa iflavirus 1,Porcine enterovirus 8,0.94,0.06
AoV-3,CosV-A1,Putative A. octoarticulatus virus 1 (g2275 i0),Cosavirus A1,0.94,0.06
AoV-5,LimV-A1,Putative A. octoarticulatus virus 4 (g1894 i0),Limnipivirus A1,0.94,0.06
DcPV,IFV,Dinocampus coccinellae paralysis virus,Infectious flacherie virus,0.94,0.06
ApIV,BatPI,Antheraea pernyi iflavirus,Bat picornavirus,0.94,0.06
AoV-2,CV-A1,Putative A. octoarticulatus virus 3 (g6982 i4),Cardiovirus A1,0.94,0.06
AoV-2,EPV-1,Putative A. octoarticulatus virus 3 (g6982 i4),Eel picornavirus 1,0.94,0.06
TplV-1,SEIV-1,Thaumetopoea pityocampa iflavirus 1,Spodoptera exigua iflavirus 1,0.94,0.06
TplV-1,HAV,Thaumetopoea pityocampa iflavirus 1,Hepatovirus A,0.94,0.06
AoV-5,DHAV-1,Putative A. octoarticulatus virus 4 (g1894 i0),Duck hepatitis A virus 1,0.94,0.06
SINV-11,SEIV-1, Solenopsis invicta virus 11,Spodoptera exigua iflavirus 1,0.94,0.06
FeV-2,HAV,Formica exsecta virus 2,Hepatovirus A,0.94,0.06
RoM-7,AV-A1,Rosavirus M-7,Aquamavirus A1,0.94,0.06
GaV-A1,HPeV-1,Gallivirus A1,Human parechovirus 1,0.94,0.06
CosV-A1,TuASV,Cosavirus A1,Turkey avisivirus,0.94,0.06
GaV-A1,TuASV,Gallivirus A1,Turkey avisivirus,0.94,0.06
BatIV,AEV-1,Bat iflavirus (Yinda et al. 2016),Tremovirus A1,0.94,0.06
LHUV-1,LimV-A1,Linepithema humile virus 1,Limnipivirus A1,0.94,0.06
LHUV-1,HAV,Linepithema humile virus 1,Hepatovirus A,0.94,0.06
SINV-1,BatPI,Solenopsis invicta virus 1,Bat picornavirus,0.94,0.06
TesV-A1,TuASV,Teschovirus A1,Turkey avisivirus,0.94,0.06
LdIV-1,CRLV,Lymantria dispar iflavirus 1,Cherry rasp leaf virus,0.94,0.06
KgV,HAV,King virus,Hepatovirus A,0.94,0.06
SINV-1,CV-A1,Solenopsis invicta virus 1,Cardiovirus A1,0.94,0.06
PNV,HPeV-1,Perina nuda virus,Human parechovirus 1,0.94,0.06
NLHV-1,SenV-A1,Nilaparvata lugens honeydew virus 1,Senecavirus A1,0.94,0.06
AoV-7,KuV-A1,Putative A. octoarticulatus virus 6 (g3684 i0),Kunsagivirus A1,0.94,0.06
SV-NG-J1,KuV-A1,Salivirus NG-J1,Kunsagivirus A1,0.94,0.06
GaV-A1,KuV-A1,Gallivirus A1,Kunsagivirus A1,0.94,0.06
SEIV-2,KuV-A1,Spodoptera exigua iflavirus 2,Kunsagivirus A1,0.94,0.06
FEX-1,PNV,Formica exsecta virus 1,Perina nuda virus,0.94,0.06
SEIV-2,EPV-1,Spodoptera exigua iflavirus 2,Eel picornavirus 1,0.94,0.06
ALPV,POLIO1A,Aphid lethal paralysis virus,Human poliovirus 1 Mahoney,0.94,0.06
AoV-6,SiV-A,Putative A. octoarticulatus virus 5 (g2855 i0),Sicinivirus A,0.94,0.06
BatIV,SiV-A,Bat iflavirus (Yinda et al. 2016),Sicinivirus A,0.94,0.06
EoV,OsV-A1,Ectropis obliqua virus,Oscivirus A1,0.94,0.06
KBV,TuASV,Kashmir bee virus,Turkey avisivirus,0.94,0.06
FeV-2,DHAV-1,Formica exsecta virus 2,Duck hepatitis A virus 1,0.94,0.06
FeV-2,ArMV,Formica exsecta virus 2,Arabis mosaic virus,0.94,0.06
IFV,THV-2993D,Infectious flacherie virus,Turkey hepatitis virus 2993D,0.94,0.06
AoV-7,THV-2993D,Putative A. octoarticulatus virus 6 (g3684 i0),Turkey hepatitis virus 2993D,0.94,0.06
BatIV,EPV-1,Bat iflavirus (Yinda et al. 2016),Eel picornavirus 1,0.94,0.06
ALPV,KuV-A1,Aphid lethal paralysis virus,Kunsagivirus A1,0.94,0.06
KgV,CRLV,King virus,Cherry rasp leaf virus,0.94,0.06
FeV-2,CRLV,Formica exsecta virus 2,Cherry rasp leaf virus,0.94,0.06
CPMV,SEIV-2,Cowpea mosaic virus,Spodoptera exigua iflavirus 2,0.94,0.06
FEX-1,CosV-A1,Formica exsecta virus 1,Cosavirus A1,0.94,0.06
FSak1,TuASV,Feline sakobuvirus A,Turkey avisivirus,0.94,0.06
AoV-5,HAV,Putative A. octoarticulatus virus 4 (g1894 i0),Hepatovirus A,0.94,0.06
BatIV,BatPI,Bat iflavirus (Yinda et al. 2016),Bat picornavirus,0.94,0.06
IAPV,RoM-7,Israeli acute paralysis virus,Rosavirus M-7,0.94,0.06
IAPV,TuASV,Israeli acute paralysis virus,Turkey avisivirus,0.94,0.06
SINV-16,CPMV, Solenopsis invicta virus 16,Cowpea mosaic virus,0.94,0.06
BatPI,TuASV,Bat picornavirus,Turkey avisivirus,0.94,0.06
MoV-A1,HPeV-1,Mosavirus A1,Human parechovirus 1,0.94,0.06
KgV,KuV-A1,King virus,Kunsagivirus A1,0.94,0.06
EoV,HPeV-1,Ectropis obliqua virus,Human parechovirus 1,0.94,0.06
ABPV,AEV-1,Acute bee paralysis virus,Tremovirus A1,0.94,0.06
KBV,EoV,Kashmir bee virus,Ectropis obliqua virus,0.94,0.06
FEX-1,EoV,Formica exsecta virus 1,Ectropis obliqua virus,0.94,0.06
NIHV-2,OsV-A1,Nilaparvata lugens honeydew virus-2,Oscivirus A1,0.94,0.06
SiV-A,AV-A1,Sicinivirus A,Aquamavirus A1,0.94,0.06
GaV-A1,AV-A1,Gallivirus A1,Aquamavirus A1,0.94,0.06
ALPV,AEV-1,Aphid lethal paralysis virus,Tremovirus A1,0.94,0.06
FMDV-O1K,TuASV,Foot and mouth disease virus,Turkey avisivirus,0.94,0.06
SV-NG-J1,HPeV-1,Salivirus NG-J1,Human parechovirus 1,0.94,0.06
DWV,OilV-1,Deformed wing virus,Osiphanes invirae iflavirus 1,0.94,0.06
CRLV,LimV-A1,Cherry rasp leaf virus,Limnipivirus A1,0.94,0.06
LdIV-1,PEV-8,Lymantria dispar iflavirus 1,Porcine enterovirus 8,0.94,0.06
AoV-3,FSak1,Putative A. octoarticulatus virus 1 (g2275 i0),Feline sakobuvirus A,0.94,0.06
AoV-6,EPV-1,Putative A. octoarticulatus virus 5 (g2855 i0),Eel picornavirus 1,0.94,0.06
ABPV,ArMV,Acute bee paralysis virus,Arabis mosaic virus,0.94,0.06
LHUV-1,CosV-A1,Linepithema humile virus 1,Cosavirus A1,0.94,0.06
SINV-1,ERAV,Solenopsis invicta virus 1,Equine rhinitis B virus 1,0.94,0.06
EoV,AEV-1,Ectropis obliqua virus,Tremovirus A1,0.94,0.06
ApIV,BQCV,Antheraea pernyi iflavirus,Black queen cell virus,0.94,0.06
SINV-1,EPV-1,Solenopsis invicta virus 1,Eel picornavirus 1,0.94,0.06
BQCV,EPV-1,Black queen cell virus,Eel picornavirus 1,0.94,0.06
AoV-2,ERAV,Putative A. octoarticulatus virus 3 (g6982 i4),Equine rhinitis B virus 1,0.94,0.06
DcPV,PNV,Dinocampus coccinellae paralysis virus,Perina nuda virus,0.94,0.06
BBV,TesV-A1,Brevicoryne brassicae virus,Teschovirus A1,0.94,0.06
AiV-1,DHAV-1,Aichi virus 1,Duck hepatitis A virus 1,0.94,0.06
HAV,PaV-1,Hepatovirus A,Pasivirus A1,0.94,0.06
TplV-1,FSak1,Thaumetopoea pityocampa iflavirus 1,Feline sakobuvirus A,0.94,0.06
ALPV,DHAV-1,Aphid lethal paralysis virus,Duck hepatitis A virus 1,0.94,0.06
SBV,SEIV-1,Sacbrood virus,Spodoptera exigua iflavirus 1,0.94,0.06
CosV-A1,LimV-A1,Cosavirus A1,Limnipivirus A1,0.94,0.06
SEIV-2,AV-A1,Spodoptera exigua iflavirus 2,Aquamavirus A1,0.94,0.06
ALPV,IFV,Aphid lethal paralysis virus,Infectious flacherie virus,0.94,0.06
ERAV,HPeV-1,Equine rhinitis B virus 1,Human parechovirus 1,0.94,0.06
SINV-1,IFV,Solenopsis invicta virus 1,Infectious flacherie virus,0.94,0.06
LdIV-1,PNV,Lymantria dispar iflavirus 1,Perina nuda virus,0.94,0.06
AoV-6,PasV-A1,Putative A. octoarticulatus virus 5 (g2855 i0),Passerivirus A1,0.94,0.06
THV-2993D,HPeV-1,Turkey hepatitis virus 2993D,Human parechovirus 1,0.94,0.06
AoV-3,LimV-A1,Putative A. octoarticulatus virus 1 (g2275 i0),Limnipivirus A1,0.94,0.06
OsV-A1,TuASV,Oscivirus A1,Turkey avisivirus,0.94,0.06
AoV-3,CPMV,Putative A. octoarticulatus virus 1 (g2275 i0),Cowpea mosaic virus,0.94,0.06
BQCV,SEIV-1,Black queen cell virus,Spodoptera exigua iflavirus 1,0.94,0.06
AoV-3,DHAV-1,Putative A. octoarticulatus virus 1 (g2275 i0),Duck hepatitis A virus 1,0.94,0.06
STV9,DHAV-1,Soybean thrips iflavirus 9,Duck hepatitis A virus 1,0.94,0.06
KgV,DHAV-1,King virus,Duck hepatitis A virus 1,0.94,0.06
AiV-1,PaV-1,Aichi virus 1,Pasivirus A1,0.94,0.06
STV9,LimV-A1,Soybean thrips iflavirus 9,Limnipivirus A1,0.94,0.06
THV-2993D,AEV-1,Turkey hepatitis virus 2993D,Tremovirus A1,0.94,0.06
DcPV,EoV,Dinocampus coccinellae paralysis virus,Ectropis obliqua virus,0.94,0.06
SBPV,CRLV,Slow bee paralysis virus,Cherry rasp leaf virus,0.94,0.06
LHUV-1,CRLV,Linepithema humile virus 1,Cherry rasp leaf virus,0.94,0.06
SINV-11,CPMV, Solenopsis invicta virus 11,Cowpea mosaic virus,0.94,0.06
TplV-1,BatPI,Thaumetopoea pityocampa iflavirus 1,Bat picornavirus,0.94,0.06
KBV,CosV-A1,Kashmir bee virus,Cosavirus A1,0.94,0.06
CPMV,PNV,Cowpea mosaic virus,Perina nuda virus,0.94,0.06
ABPV,SEIV-1,Acute bee paralysis virus,Spodoptera exigua iflavirus 1,0.94,0.06
ApIV,CRLV,Antheraea pernyi iflavirus,Cherry rasp leaf virus,0.94,0.06
LHUV-1,EPV-1,Linepithema humile virus 1,Eel picornavirus 1,0.94,0.06
KBV,RoM-7,Kashmir bee virus,Rosavirus M-7,0.94,0.06
SINV-1,RoM-7,Solenopsis invicta virus 1,Rosavirus M-7,0.94,0.06
MoV-A1,DHAV-1,Mosavirus A1,Duck hepatitis A virus 1,0.94,0.06
CosV-A1,HPeV-1,Cosavirus A1,Human parechovirus 1,0.93,0.07
SiV-A,HPeV-1,Sicinivirus A,Human parechovirus 1,0.93,0.07
FEX-1,LimV-A1,Formica exsecta virus 1,Limnipivirus A1,0.93,0.07
TesV-A1,LimV-A1,Teschovirus A1,Limnipivirus A1,0.93,0.07
STV9,KuV-A1,Soybean thrips iflavirus 9,Kunsagivirus A1,0.93,0.07
LHUV-1,KuV-A1,Linepithema humile virus 1,Kunsagivirus A1,0.93,0.07
AoV-6,CPMV,Putative A. octoarticulatus virus 5 (g2855 i0),Cowpea mosaic virus,0.93,0.07
DWV,CRLV,Deformed wing virus,Cherry rasp leaf virus,0.93,0.07
THV-2993D,AV-A1,Turkey hepatitis virus 2993D,Aquamavirus A1,0.93,0.07
KgV,SEIV-1,King virus,Spodoptera exigua iflavirus 1,0.93,0.07
VdV-1,SEIV-1,Varroa destructor virus 1,Spodoptera exigua iflavirus 1,0.93,0.07
KBV,ArMV,Kashmir bee virus,Arabis mosaic virus,0.93,0.07
FEX-1,ArMV,Formica exsecta virus 1,Arabis mosaic virus,0.93,0.07
ALPV,BatPI,Aphid lethal paralysis virus,Bat picornavirus,0.93,0.07
AoV-7,PasV-A1,Putative A. octoarticulatus virus 6 (g3684 i0),Passerivirus A1,0.93,0.07
AoV-7,SiV-A,Putative A. octoarticulatus virus 6 (g3684 i0),Sicinivirus A,0.93,0.07
BatIV,MoV-A1,Bat iflavirus (Yinda et al. 2016),Mosavirus A1,0.93,0.07
AoV-6,AV-A1,Putative A. octoarticulatus virus 5 (g2855 i0),Aquamavirus A1,0.93,0.07
SINV-11,ArMV, Solenopsis invicta virus 11,Arabis mosaic virus,0.93,0.07
AoV-6,AEV-1,Putative A. octoarticulatus virus 5 (g2855 i0),Tremovirus A1,0.93,0.07
NLHV-1,SEIV-1,Nilaparvata lugens honeydew virus 1,Spodoptera exigua iflavirus 1,0.93,0.07
STV9,TuASV,Soybean thrips iflavirus 9,Turkey avisivirus,0.93,0.07
FMDV-O1K,KuV-A1,Foot and mouth disease virus,Kunsagivirus A1,0.93,0.07
PNV,OsV-A1,Perina nuda virus,Oscivirus A1,0.93,0.07
BatIV,HAV,Bat iflavirus (Yinda et al. 2016),Hepatovirus A,0.93,0.07
BQCV,AV-A1,Black queen cell virus,Aquamavirus A1,0.93,0.07
BatIV,SV-NG-J1,Bat iflavirus (Yinda et al. 2016),Salivirus NG-J1,0.93,0.07
THV-2993D,PaV-1,Turkey hepatitis virus 2993D,Pasivirus A1,0.93,0.07
AoV-2,POLIO1A,Putative A. octoarticulatus virus 3 (g6982 i4),Human poliovirus 1 Mahoney,0.93,0.07
SINV-1,SEIV-1,Solenopsis invicta virus 1,Spodoptera exigua iflavirus 1,0.93,0.07
BatIV,ArMV,Bat iflavirus (Yinda et al. 2016),Arabis mosaic virus,0.93,0.07
BatPI,PaV-1,Bat picornavirus,Pasivirus A1,0.93,0.07
MoV-A1,PaV-1,Mosavirus A1,Pasivirus A1,0.93,0.07
SBV,AoV-2,Sacbrood virus,Putative A. octoarticulatus virus 3 (g6982 i4),0.93,0.07
AoV-7,FSak1,Putative A. octoarticulatus virus 6 (g3684 i0),Feline sakobuvirus A,0.93,0.07
BBV,HAV,Brevicoryne brassicae virus,Hepatovirus A,0.93,0.07
TplV-1,PNV,Thaumetopoea pityocampa iflavirus 1,Perina nuda virus,0.93,0.07
SiV-A,KuV-A1,Sicinivirus A,Kunsagivirus A1,0.93,0.07
AoV-7,LimV-A1,Putative A. octoarticulatus virus 6 (g3684 i0),Limnipivirus A1,0.93,0.07
ApIV,HAV,Antheraea pernyi iflavirus,Hepatovirus A,0.93,0.07
AoV-7,HAV,Putative A. octoarticulatus virus 6 (g3684 i0),Hepatovirus A,0.93,0.07
ApIV,PNV,Antheraea pernyi iflavirus,Perina nuda virus,0.93,0.07
AoV-2,LimV-A1,Putative A. octoarticulatus virus 3 (g6982 i4),Limnipivirus A1,0.93,0.07
AoV-3,TuASV,Putative A. octoarticulatus virus 1 (g2275 i0),Turkey avisivirus,0.93,0.07
AiV-1,LimV-A1,Aichi virus 1,Limnipivirus A1,0.93,0.07
ApIV,CPMV,Antheraea pernyi iflavirus,Cowpea mosaic virus,0.93,0.07
THV-2993D,HAV,Turkey hepatitis virus 2993D,Hepatovirus A,0.93,0.07
LHUV-1,CPMV,Linepithema humile virus 1,Cowpea mosaic virus,0.93,0.07
MoV-A1,EPV-1,Mosavirus A1,Eel picornavirus 1,0.93,0.07
POLIO1A,LimV-A1,Human poliovirus 1 Mahoney,Limnipivirus A1,0.93,0.07
AoV-2,PNV,Putative A. octoarticulatus virus 3 (g6982 i4),Perina nuda virus,0.93,0.07
GaV-A1,LimV-A1,Gallivirus A1,Limnipivirus A1,0.93,0.07
NIHV-2,SEIV-2,Nilaparvata lugens honeydew virus-2,Spodoptera exigua iflavirus 2,0.93,0.07
CV-A1,KuV-A1,Cardiovirus A1,Kunsagivirus A1,0.93,0.07
KBV,AV-A1,Kashmir bee virus,Aquamavirus A1,0.93,0.07
ABPV,AV-A1,Acute bee paralysis virus,Aquamavirus A1,0.93,0.07
SINV-1,AV-A1,Solenopsis invicta virus 1,Aquamavirus A1,0.93,0.07
IAPV,CosV-A1,Israeli acute paralysis virus,Cosavirus A1,0.93,0.07
ABPV,CosV-A1,Acute bee paralysis virus,Cosavirus A1,0.93,0.07
KBV,SEIV-1,Kashmir bee virus,Spodoptera exigua iflavirus 1,0.93,0.07
FEX-1,SEIV-1,Formica exsecta virus 1,Spodoptera exigua iflavirus 1,0.93,0.07
MSPV-1,HPeV-1,Miniopterus schreibersii picornavirus 1,Human parechovirus 1,0.93,0.07
BHuV-1,KuV-A1,Bovine hungarovirus 1,Kunsagivirus A1,0.93,0.07
BQCV,PEV-8,Black queen cell virus,Porcine enterovirus 8,0.93,0.07
FEX-1,RoM-7,Formica exsecta virus 1,Rosavirus M-7,0.93,0.07
ApIV,ArMV,Antheraea pernyi iflavirus,Arabis mosaic virus,0.93,0.07
KBV,LimV-A1,Kashmir bee virus,Limnipivirus A1,0.93,0.07
SINV-11,CRLV, Solenopsis invicta virus 11,Cherry rasp leaf virus,0.93,0.07
AoV-2,CRLV,Putative A. octoarticulatus virus 3 (g6982 i4),Cherry rasp leaf virus,0.93,0.07
NLHV-1,MSPV-1,Nilaparvata lugens honeydew virus 1,Miniopterus schreibersii picornavirus 1,0.93,0.07
PasV-A1,HPeV-1,Passerivirus A1,Human parechovirus 1,0.93,0.07
ApIV,IFV,Antheraea pernyi iflavirus,Infectious flacherie virus,0.93,0.07
MoV-A1,TuASV,Mosavirus A1,Turkey avisivirus,0.93,0.07
AoV-3,AoV-7,Putative A. octoarticulatus virus 1 (g2275 i0),Putative A. octoarticulatus virus 6 (g3684 i0),0.93,0.07
IAPV,SEIV-1,Israeli acute paralysis virus,Spodoptera exigua iflavirus 1,0.93,0.07
STV9,AoV-6,Soybean thrips iflavirus 9,Putative A. octoarticulatus virus 5 (g2855 i0),0.93,0.07
VdV-1,OilV-1,Varroa destructor virus 1,Osiphanes invirae iflavirus 1,0.93,0.07
SBV,CPMV,Sacbrood virus,Cowpea mosaic virus,0.93,0.07
VdV-1,CRLV,Varroa destructor virus 1,Cherry rasp leaf virus,0.93,0.07
GaV-A1,EPV-1,Gallivirus A1,Eel picornavirus 1,0.93,0.07
AoV-2,AEV-1,Putative A. octoarticulatus virus 3 (g6982 i4),Tremovirus A1,0.93,0.07
KgV,IAPV,King virus,Israeli acute paralysis virus,0.93,0.07
TesV-A1,PaV-1,Teschovirus A1,Pasivirus A1,0.93,0.07
AoV-6,HPeV-1,Putative A. octoarticulatus virus 5 (g2855 i0),Human parechovirus 1,0.93,0.07
AoV-7,TesV-A1,Putative A. octoarticulatus virus 6 (g3684 i0),Teschovirus A1,0.93,0.07
SEIV-2,OsV-A1,Spodoptera exigua iflavirus 2,Oscivirus A1,0.93,0.07
ERAV,AV-A1,Equine rhinitis B virus 1,Aquamavirus A1,0.93,0.07
SBPV,CPMV,Slow bee paralysis virus,Cowpea mosaic virus,0.93,0.07
AoV-5,BQCV,Putative A. octoarticulatus virus 4 (g1894 i0),Black queen cell virus,0.93,0.07
AoV-7,CosV-A1,Putative A. octoarticulatus virus 6 (g3684 i0),Cosavirus A1,0.93,0.07
BBV,SEIV-1,Brevicoryne brassicae virus,Spodoptera exigua iflavirus 1,0.93,0.07
FSak1,HPeV-1,Feline sakobuvirus A,Human parechovirus 1,0.93,0.07
NIHV-2,SV-NG-J1,Nilaparvata lugens honeydew virus-2,Salivirus NG-J1,0.93,0.07
BHuV-1,DHAV-1,Bovine hungarovirus 1,Duck hepatitis A virus 1,0.93,0.07
STV9,OilV-1,Soybean thrips iflavirus 9,Osiphanes invirae iflavirus 1,0.93,0.07
LdIV-1,OilV-1,Lymantria dispar iflavirus 1,Osiphanes invirae iflavirus 1,0.93,0.07
CV-A1,EPV-1,Cardiovirus A1,Eel picornavirus 1,0.93,0.07
LdIV-1,EPV-1,Lymantria dispar iflavirus 1,Eel picornavirus 1,0.93,0.07
AiV-1,AV-A1,Aichi virus 1,Aquamavirus A1,0.93,0.07
BHuV-1,EPV-1,Bovine hungarovirus 1,Eel picornavirus 1,0.93,0.07
SBV,IFV,Sacbrood virus,Infectious flacherie virus,0.93,0.07
AoV-7,PEV-8,Putative A. octoarticulatus virus 6 (g3684 i0),Porcine enterovirus 8,0.93,0.07
OsV-A1,DHAV-1,Oscivirus A1,Duck hepatitis A virus 1,0.93,0.07
DWV,ArMV,Deformed wing virus,Arabis mosaic virus,0.93,0.07
IFV,ArMV,Infectious flacherie virus,Arabis mosaic virus,0.93,0.07
NLHV-1,AiV-1,Nilaparvata lugens honeydew virus 1,Aichi virus 1,0.93,0.07
THV-2993D,KuV-A1,Turkey hepatitis virus 2993D,Kunsagivirus A1,0.93,0.07
ABPV,LimV-A1,Acute bee paralysis virus,Limnipivirus A1,0.93,0.07
LdIV-1,CPMV,Lymantria dispar iflavirus 1,Cowpea mosaic virus,0.93,0.07
SenV-A1,AEV-1,Senecavirus A1,Tremovirus A1,0.93,0.07
AoV-2,PasV-A1,Putative A. octoarticulatus virus 3 (g6982 i4),Passerivirus A1,0.93,0.07
BatPI,HPeV-1,Bat picornavirus,Human parechovirus 1,0.93,0.07
SBV,AoV-7,Sacbrood virus,Putative A. octoarticulatus virus 6 (g3684 i0),0.93,0.07
AoV-7,CPMV,Putative A. octoarticulatus virus 6 (g3684 i0),Cowpea mosaic virus,0.93,0.07
AoV-2,PaV-1,Putative A. octoarticulatus virus 3 (g6982 i4),Pasivirus A1,0.93,0.07
SBPV,BQCV,Slow bee paralysis virus,Black queen cell virus,0.93,0.07
POLIO1A,HPeV-1,Human poliovirus 1 Mahoney,Human parechovirus 1,0.93,0.07
SINV-16,FEX-1, Solenopsis invicta virus 16,Formica exsecta virus 1,0.93,0.07
BQCV,TesV-A1,Black queen cell virus,Teschovirus A1,0.93,0.07
CPDV,HPeV-1,Canine picodicistrovirus,Human parechovirus 1,0.93,0.07
OsV-A1,HAV,Oscivirus A1,Hepatovirus A,0.93,0.07
SBPV,IFV,Slow bee paralysis virus,Infectious flacherie virus,0.93,0.07
STV9,AoV-7,Soybean thrips iflavirus 9,Putative A. octoarticulatus virus 6 (g3684 i0),0.93,0.07
ALPV,LimV-A1,Aphid lethal paralysis virus,Limnipivirus A1,0.93,0.07
NLHV-1,SV-NG-J1,Nilaparvata lugens honeydew virus 1,Salivirus NG-J1,0.93,0.07
BatPI,LimV-A1,Bat picornavirus,Limnipivirus A1,0.93,0.07
ABPV,CPMV,Acute bee paralysis virus,Cowpea mosaic virus,0.93,0.07
ERAV,LimV-A1,Equine rhinitis B virus 1,Limnipivirus A1,0.93,0.07
SINV-16,CRLV, Solenopsis invicta virus 16,Cherry rasp leaf virus,0.93,0.07
THV-2993D,EPV-1,Turkey hepatitis virus 2993D,Eel picornavirus 1,0.93,0.07
BBV,ArMV,Brevicoryne brassicae virus,Arabis mosaic virus,0.93,0.07
